CourseID	DecimalGrade	Academic Year
BUSN 135	3.6	1992 - 1993
BUSN 210	4	1992 - 1993
BUSN 210	4	1992 - 1993
BUSN 135	4	1992 - 1993
BUSN 210	2.5	1992 - 1993
BUSN 210	4	1992 - 1993
BUSN 135	3.4	1992 - 1993
BUSN 210	2.3	1992 - 1993
BUSN 135	3.3	1992 - 1993
BUSN 135	4	1992 - 1993
BUSN 135	2.6	1992 - 1993
BUSN 135	2	1992 - 1993
BUSN 210	3.2	1992 - 1993
BUSN 135	3	1992 - 1993
BUSN 210	2.7	1992 - 1993
BUSN 210	0.7	1992 - 1993
BUSN 210	4	1992 - 1993
BUSN 135	0	1992 - 1993
BUSN 210	4	1992 - 1993
BUSN 210	3.8	1992 - 1993
BUSN 135	0	1992 - 1993
BUSN 210	4	1992 - 1993
BUSN 135	3	1992 - 1993
BUSN 210	2.3	1992 - 1993
BUSN 210	1.2	1992 - 1993
BUSN 210	4	1992 - 1993
BUSN 210	3.4	1992 - 1993
BUSN 135	3.6	1992 - 1993
BUSN 135	2.3	1992 - 1993
BUSN 210	3.1	1992 - 1993
BUSN 135	3.5	1992 - 1993
BUSN 135	3.1	1992 - 1993
BUSN 210	2.5	1992 - 1993
BUSN 210	1	1992 - 1993
BUSN 135	3.7	1992 - 1993
BUSN 210	2.9	1992 - 1993
BUSN 210	3	1992 - 1993
BUSN 210	1.6	1992 - 1993
BUSN 210	3.8	1992 - 1993
BUSN 135	2.6	1992 - 1993
BUSN 210	3.3	1992 - 1993
BUSN 210	4	1992 - 1993
BUSN 135	3.8	1992 - 1993
BUSN 135	0	1992 - 1993
BUSN 135	2.1	1992 - 1993
BUSN 210	2.3	1992 - 1993
BUSN 135	4	1992 - 1993
BUSN 135	3.4	1992 - 1993
BUSN 135	0	1992 - 1993
BUSN 210	3.1	1992 - 1993
BUSN 135	3.1	1992 - 1993
BUSN 210	4	1992 - 1993
BUSN 135	2.9	1992 - 1993
BUSN 135	0.9	1992 - 1993
BUSN 210	0	1992 - 1993
BUSN 210	2.2	1992 - 1993
BUSN 135	3.5	1992 - 1993
BUSN 135	0.9	1992 - 1993
BUSN 210	3.6	1992 - 1993
BUSN 135	2.7	1992 - 1993
BUSN 210	2.1	1992 - 1993
BUSN 135	2.3	1992 - 1993
BUSN 210	3	1992 - 1993
BUSN 210	2.6	1992 - 1993
BUSN 210	4	1992 - 1993
BUSN 210	4	1992 - 1993
BUSN 210	2.6	1992 - 1993
BUSN 210	3.8	1992 - 1993
BUSN 210	3	1992 - 1993
BUSN 210	3	1992 - 1993
BUSN 210	3.3	1992 - 1993
BUSN 135	2.7	1992 - 1993
BUSN 210	2.7	1992 - 1993
BUSN 210	3	1992 - 1993
BUSN 135	4	1992 - 1993
BUSN 210	2	1992 - 1993
BUSN 135	4	1992 - 1993
BUSN 135	3.8	1992 - 1993
BUSN 135	2.9	1992 - 1993
BUSN 210	0	1992 - 1993
BUSN 135	4	1992 - 1993
BUSN 135	3.5	1992 - 1993
BUSN 210	4	1992 - 1993
BUSN 135	3.2	1992 - 1993
BUSN 135	3.8	1992 - 1993
BUSN 210	2.4	1992 - 1993
BUSN 135	4	1992 - 1993
BUSN 135	3.7	1992 - 1993
BUSN 135	0	1992 - 1993
BUSN 210	2.8	1992 - 1993
BUSN 210	3	1992 - 1993
BUSN 210	2.1	1992 - 1993
BUSN 210	3.5	1992 - 1993
BUSN 135	2	1992 - 1993
BUSN 135	3.7	1992 - 1993
BUSN 135	3.8	1992 - 1993
BUSN 135	3.6	1992 - 1993
BUSN 210	2.5	1992 - 1993
BUSN 210	3.5	1992 - 1993
BUSN 135	3.7	1992 - 1993
BUSN 210	3.1	1992 - 1993
BUSN 135	0	1992 - 1993
BUSN 210	3.1	1992 - 1993
BUSN 210	2	1992 - 1993
BUSN 210	3.1	1992 - 1993
BUSN 135	3.1	1992 - 1993
BUSN 135	0	1992 - 1993
BUSN 210	2.6	1992 - 1993
BUSN 210	1.2	1992 - 1993
BUSN 210	2.8	1992 - 1993
BUSN 135	3.1	1992 - 1993
BUSN 135	1.6	1992 - 1993
BUSN 210	0	1992 - 1993
BUSN 135	2.1	1992 - 1993
BUSN 210	3.5	1992 - 1993
BUSN 210	0	1992 - 1993
BUSN 210	3.7	1992 - 1993
BUSN 210	3.5	1992 - 1993
BUSN 210	0	1992 - 1993
BUSN 135	3.7	1992 - 1993
BUSN 210	4	1992 - 1993
BUSN 135	4	1992 - 1993
BUSN 135	3.8	1992 - 1993
BUSN 135	3.2	1992 - 1993
BUSN 135	1.1	1992 - 1993
BUSN 210	3	1992 - 1993
BUSN 135	3.9	1992 - 1993
BUSN 210	2	1992 - 1993
BUSN 210	3	1992 - 1993
BUSN 210	3.5	1992 - 1993
BUSN 135	2	1992 - 1993
BUSN 135	3.8	1992 - 1993
BUSN 210	3.1	1992 - 1993
BUSN 210	2.4	1992 - 1993
BUSN 210	0	1992 - 1993
BUSN 210	2.2	1992 - 1993
BUSN 210	3.7	1992 - 1993
BUSN 210	3.8	1992 - 1993
BUSN 210	3.5	1992 - 1993
BUSN 210	2.7	1992 - 1993
BUSN 210	0.8	1992 - 1993
BUSN 210	2	1992 - 1993
BUSN 135	0	1992 - 1993
BUSN 135	3.5	1992 - 1993
BUSN 135	2.7	1992 - 1993
BUSN 135	3.7	1992 - 1993
BUSN 135	0.9	1992 - 1993
BUSN 210	3.2	1992 - 1993
BUSN 210	2.8	1992 - 1993
BUSN 210	2.3	1992 - 1993
BUSN 135	3.6	1992 - 1993
BUSN 135	1.6	1992 - 1993
BUSN 210	4	1992 - 1993
BUSN 135	2.3	1992 - 1993
BUSN 210	3.6	1992 - 1993
BUSN 210	3	1992 - 1993
BUSN 210	3.5	1992 - 1993
BUSN 210	2.6	1992 - 1993
BUSN 135	3.7	1992 - 1993
BUSN 135	1.7	1992 - 1993
BUSN 210	3	1992 - 1993
BUSN 210	1.3	1992 - 1993
BUSN 210	2.2	1992 - 1993
BUSN 210	3.6	1992 - 1993
BUSN 135	3.9	1992 - 1993
BUSN 210	2.7	1992 - 1993
BUSN 210	2.4	1992 - 1993
BUSN 210	3	1992 - 1993
BUSN 210	1.3	1992 - 1993
BUSN 210	2.5	1992 - 1993
BUSN 210	4	1992 - 1993
BUSN 210	2.3	1992 - 1993
BUSN 210	0.9	1992 - 1993
BUSN 210	2.8	1992 - 1993
BUSN 135	4	1992 - 1993
BUSN 210	3.7	1992 - 1993
BUSN 135	2.2	1992 - 1993
BUSN 210	2.1	1992 - 1993
BUSN 210	3.1	1992 - 1993
BUSN 210	2.6	1992 - 1993
BUSN 210	3.5	1992 - 1993
BUSN 210	3.3	1992 - 1993
BUSN 210	3.8	1992 - 1993
BUSN 210	3.5	1992 - 1993
BUSN 135	3.2	1992 - 1993
BUSN 210	2.6	1992 - 1993
BUSN 210	3.1	1992 - 1993
BUSN 210	3.3	1992 - 1993
BUSN 210	1.3	1992 - 1993
BUSN 135	3.3	1992 - 1993
BUSN 135	3.9	1992 - 1993
BUSN 210	1.3	1992 - 1993
BUSN 210	1	1992 - 1993
BUSN 210	2.6	1992 - 1993
BUSN 210	3.1	1992 - 1993
BUSN 210	2.3	1992 - 1993
BUSN 210	0	1992 - 1993
BUSN 210	2.8	1992 - 1993
BUSN 210	4	1992 - 1993
BUSN 210	4	1992 - 1993
BUSN 210	4	1992 - 1993
BUSN 210	2.8	1992 - 1993
BUSN 135	2.6	1992 - 1993
BUSN 210	3	1992 - 1993
BUSN 210	2.7	1992 - 1993
BUSN 135	3.7	1992 - 1993
BUSN 210	3.1	1992 - 1993
BUSN 210	0	1992 - 1993
BUSN 210	3.5	1992 - 1993
BUSN 210	2.3	1992 - 1993
BUSN 135	3	1992 - 1993
BUSN 210	2.7	1992 - 1993
BUSN 135	3.4	1992 - 1993
BUSN 135	2	1992 - 1993
BUSN 210	3	1992 - 1993
BUSN 135	2.1	1992 - 1993
BUSN 210	3.1	1992 - 1993
BUSN 210	2.6	1992 - 1993
BUSN 135	3.3	1992 - 1993
BUSN 210	3	1992 - 1993
BUSN 210	2	1992 - 1993
BUSN 210	2.7	1992 - 1993
BUSN 210	3.7	1992 - 1993
BUSN 210	2.7	1992 - 1993
BUSN 210	0	1992 - 1993
BUSN 210	2.2	1992 - 1993
BUSN 135	3	1992 - 1993
BUSN 210	3.1	1992 - 1993
BUSN 210	2.8	1992 - 1993
BUSN 210	0.8	1992 - 1993
BUSN 135	0	1992 - 1993
BUSN 135	3	1992 - 1993
BUSN 210	3.2	1992 - 1993
BUSN 210	4	1992 - 1993
BUSN 210	3	1992 - 1993
BUSN 210	1	1992 - 1993
BUSN 210	3	1992 - 1993
BUSN 210	2	1992 - 1993
BUSN 210	0.8	1992 - 1993
BUSN 135	2.3	1992 - 1993
BUSN 210	2.5	1992 - 1993
BUSN 135	2.4	1992 - 1993
BUSN 210	2	1992 - 1993
BUSN 135	3.3	1992 - 1993
BUSN 210	3.5	1992 - 1993
BUSN 210	3	1992 - 1993
BUSN 210	3	1992 - 1993
BUSN 210	3.5	1992 - 1993
BUSN 135	2.8	1992 - 1993
BUSN 210	2.7	1992 - 1993
BUSN 210	3.6	1992 - 1993
BUSN 135	3.5	1992 - 1993
BUSN 210	0.3	1992 - 1993
BUSN 135	0	1992 - 1993
BUSN 210	3.2	1992 - 1993
BUSN 210	3.5	1992 - 1993
BUSN 135	3.9	1992 - 1993
BUSN 210	2	1992 - 1993
BUSN 210	2.3	1992 - 1993
BUSN 210	3.8	1992 - 1993
BUSN 210	2.5	1992 - 1993
BUSN 135	3.3	1992 - 1993
BUSN 210	2.8	1992 - 1993
BUSN 210	1.5	1992 - 1993
BUSN 135	3.7	1992 - 1993
BUSN 210	2.1	1992 - 1993
BUSN 210	3	1992 - 1993
BUSN 210	2	1992 - 1993
BUSN 135	2.8	1992 - 1993
BUSN 210	3.4	1992 - 1993
BUSN 210	4	1992 - 1993
BUSN 135	3	1992 - 1993
BUSN 210	2.8	1992 - 1993
BUSN 135	2.5	1992 - 1993
BUSN 135	3.7	1992 - 1993
BUSN 135	2.8	1992 - 1993
BUSN 210	3.1	1992 - 1993
BUSN 210	3.8	1992 - 1993
BUSN 210	3.5	1992 - 1993
BUSN 210	3.6	1992 - 1993
BUSN 210	4	1992 - 1993
BUSN 135	2.9	1992 - 1993
BUSN 210	4	1992 - 1993
BUSN 210	3.7	1992 - 1993
BUSN 210	1.2	1992 - 1993
BUSN 210	1.6	1992 - 1993
BUSN 210	2.4	1992 - 1993
BUSN 210	1.1	1992 - 1993
BUSN 210	3.3	1992 - 1993
BUSN 135	2.9	1992 - 1993
BUSN 135	4	1992 - 1993
BUSN 210	0	1992 - 1993
BUSN 135	0	1992 - 1993
BUSN 135	1.9	1992 - 1993
BUSN 135	3	1992 - 1993
BUSN 210	1.4	1992 - 1993
BUSN 210	3.3	1992 - 1993
BUSN 135	3.7	1992 - 1993
BUSN 210	3	1992 - 1993
BUSN 210	3.8	1992 - 1993
BUSN 210	4	1992 - 1993
BUSN 135	3.8	1992 - 1993
BUSN 135	3	1992 - 1993
BUSN 210	3.8	1992 - 1993
BUSN 210	2.8	1992 - 1993
BUSN 210	1.7	1992 - 1993
BUSN 210	2.7	1992 - 1993
BUSN 210	1.1	1992 - 1993
BUSN 135	1.9	1992 - 1993
BUSN 135	3.8	1992 - 1993
BUSN 210	3	1992 - 1993
BUSN 210	3.1	1992 - 1993
BUSN 135	3.3	1992 - 1993
BUSN 210	4	1992 - 1993
BUSN 210	3.2	1992 - 1993
BUSN 210	2.6	1992 - 1993
BUSN 210	4	1992 - 1993
BUSN 135	3.2	1992 - 1993
BUSN 210	3	1992 - 1993
BUSN 135	2.6	1992 - 1993
BUSN 135	3.3	1992 - 1993
BUSN 135	3.5	1992 - 1993
BUSN 135	3.7	1992 - 1993
BUSN 210	2	1992 - 1993
BUSN 210	1.4	1992 - 1993
BUSN 135	2.1	1992 - 1993
BUSN 135	2.8	1992 - 1993
BUSN 210	1.5	1992 - 1993
BUSN 135	2.9	1992 - 1993
BUSN 210	3.5	1992 - 1993
BUSN 210	2	1992 - 1993
BUSN 135	2.8	1992 - 1993
BUSN 135	2	1992 - 1993
BUSN 210	4	1992 - 1993
BUSN 210	2.5	1992 - 1993
BUSN 210	2.2	1992 - 1993
BUSN 210	2.7	1992 - 1993
BUSN 210	2.1	1992 - 1993
BUSN 210	3.1	1992 - 1993
BUSN 135	3.9	1992 - 1993
BUSN 210	2.4	1992 - 1993
BUSN 210	3	1992 - 1993
BUSN 135	3.2	1992 - 1993
BUSN 135	3	1992 - 1993
BUSN 210	3.1	1992 - 1993
BUSN 135	3.1	1992 - 1993
BUSN 210	4	1992 - 1993
BUSN 135	2.1	1992 - 1993
BUSN 210	4	1992 - 1993
BUSN 210	2.1	1992 - 1993
BUSN 210	2.7	1992 - 1993
BUSN 210	0	1992 - 1993
BUSN 210	0	1992 - 1993
BUSN 135	3.6	1993 - 1994
BUSN 135	2.1	1993 - 1994
BUSN 135	4	1993 - 1994
BUSN 210	2.5	1993 - 1994
BUSN 210	3.4	1993 - 1994
BUSN 210	0	1993 - 1994
BUSN 210	2	1993 - 1994
BUSN 135	3.5	1993 - 1994
BUSN 210	2.4	1993 - 1994
BUSN 135	4	1993 - 1994
BUSN 135	1	1993 - 1994
BUSN 135	2	1993 - 1994
BUSN 210	4	1993 - 1994
BUSN 135	4	1993 - 1994
BUSN 210	3.5	1993 - 1994
BUSN 210	3.7	1993 - 1994
BUSN 135	3.4	1993 - 1994
BUSN 210	3.4	1993 - 1994
BUSN 210	2.2	1993 - 1994
BUSN 135	2.9	1993 - 1994
BUSN 210	0	1993 - 1994
BUSN 210	4	1993 - 1994
BUSN 135	0	1993 - 1994
BUSN 135	3.5	1993 - 1994
BUSN 135	0	1993 - 1994
BUSN 135	0	1993 - 1994
BUSN 135	2.1	1993 - 1994
BUSN 210	4	1993 - 1994
BUSN 135	2.6	1993 - 1994
BUSN 210	2	1993 - 1994
BUSN 135	0.7	1993 - 1994
BUSN 135	4	1993 - 1994
BUSN 135	2.2	1993 - 1994
BUSN 210	0.7	1993 - 1994
BUSN 210	4	1993 - 1994
BUSN 210	3.4	1993 - 1994
BUSN 135	4	1993 - 1994
BUSN 210	2.8	1993 - 1994
BUSN 135	1.6	1993 - 1994
BUSN 210	3.3	1993 - 1994
BUSN 135	4	1993 - 1994
BUSN 210	2.5	1993 - 1994
BUSN 135	0.9	1993 - 1994
BUSN 135	4	1993 - 1994
BUSN 210	1.2	1993 - 1994
BUSN 210	2.5	1993 - 1994
BUSN 210	3	1993 - 1994
BUSN 210	3	1993 - 1994
BUSN 135	4	1993 - 1994
BUSN 210	4	1993 - 1994
BUSN 210	1	1993 - 1994
BUSN 210	0.7	1993 - 1994
BUSN 210	2.1	1993 - 1994
BUSN 135	3.8	1993 - 1994
BUSN 210	3.8	1993 - 1994
BUSN 135	3.5	1993 - 1994
BUSN 210	3.1	1993 - 1994
BUSN 210	3.4	1993 - 1994
BUSN 135	3.7	1993 - 1994
BUSN 210	4	1993 - 1994
BUSN 210	4	1993 - 1994
BUSN 210	3.7	1993 - 1994
BUSN 210	4	1993 - 1994
BUSN 210	3.4	1993 - 1994
BUSN 210	3.8	1993 - 1994
BUSN 135	3.8	1993 - 1994
BUSN 210	2	1993 - 1994
BUSN 210	3.6	1993 - 1994
BUSN 135	2.8	1993 - 1994
BUSN 210	1.1	1993 - 1994
BUSN 135	2.9	1993 - 1994
BUSN 135	3.8	1993 - 1994
BUSN 210	2.6	1993 - 1994
BUSN 210	3.1	1993 - 1994
BUSN 210	3.3	1993 - 1994
BUSN 210	2.7	1993 - 1994
BUSN 135	2.1	1993 - 1994
BUSN 210	3.6	1993 - 1994
BUSN 210	4	1993 - 1994
BUSN 135	3.5	1993 - 1994
BUSN 135	3.4	1993 - 1994
BUSN 210	3.8	1993 - 1994
BUSN 210	3.1	1993 - 1994
BUSN 210	4	1993 - 1994
BUSN 135	3.7	1993 - 1994
BUSN 210	3.8	1993 - 1994
BUSN 135	3.6	1993 - 1994
BUSN 135	3.8	1993 - 1994
BUSN 135	3.8	1993 - 1994
BUSN 210	1	1993 - 1994
BUSN 135	3.6	1993 - 1994
BUSN 210	2.9	1993 - 1994
BUSN 210	3.6	1993 - 1994
BUSN 135	4	1993 - 1994
BUSN 210	3.6	1993 - 1994
BUSN 210	3.5	1993 - 1994
BUSN 210	4	1993 - 1994
BUSN 135	1.8	1993 - 1994
BUSN 135	0	1993 - 1994
BUSN 210	2.3	1993 - 1994
BUSN 135	3.4	1993 - 1994
BUSN 210	3.9	1993 - 1994
BUSN 210	0	1993 - 1994
BUSN 135	2.9	1993 - 1994
BUSN 135	3.4	1993 - 1994
BUSN 210	3.5	1993 - 1994
BUSN 210	4	1993 - 1994
BUSN 135	3.6	1993 - 1994
BUSN 210	0	1993 - 1994
BUSN 135	3.8	1993 - 1994
BUSN 135	3.7	1993 - 1994
BUSN 135	2.9	1993 - 1994
BUSN 210	4	1993 - 1994
BUSN 210	3.5	1993 - 1994
BUSN 135	0.9	1993 - 1994
BUSN 210	3.8	1993 - 1994
BUSN 135	2.3	1993 - 1994
BUSN 135	2.5	1993 - 1994
BUSN 135	2.1	1993 - 1994
BUSN 210	0.7	1993 - 1994
BUSN 135	3.8	1993 - 1994
BUSN 210	3.1	1993 - 1994
BUSN 210	4	1993 - 1994
BUSN 210	4	1993 - 1994
BUSN 210	3.4	1993 - 1994
BUSN 210	2.2	1993 - 1994
BUSN 135	4	1993 - 1994
BUSN 135	3.2	1993 - 1994
BUSN 210	2	1993 - 1994
BUSN 210	2	1993 - 1994
BUSN 135	4	1993 - 1994
BUSN 135	1.9	1993 - 1994
BUSN 135	0.6	1993 - 1994
BUSN 210	1.3	1993 - 1994
BUSN 210	3.5	1993 - 1994
BUSN 135	3.4	1993 - 1994
BUSN 210	2.6	1993 - 1994
BUSN 135	3.1	1993 - 1994
BUSN 135	0	1993 - 1994
BUSN 210	3.2	1993 - 1994
BUSN 210	4	1993 - 1994
BUSN 210	2	1993 - 1994
BUSN 135	0	1993 - 1994
BUSN 135	3	1993 - 1994
BUSN 210	3.3	1993 - 1994
BUSN 210	3.1	1993 - 1994
BUSN 210	3.4	1993 - 1994
BUSN 135	2.4	1993 - 1994
BUSN 210	2.4	1993 - 1994
BUSN 210	2.4	1993 - 1994
BUSN 210	0.7	1993 - 1994
BUSN 210	3.8	1993 - 1994
BUSN 135	0.4	1993 - 1994
BUSN 210	4	1993 - 1994
BUSN 135	0	1993 - 1994
BUSN 135	3.8	1993 - 1994
BUSN 135	1.7	1993 - 1994
BUSN 210	3.3	1993 - 1994
BUSN 135	3.3	1993 - 1994
BUSN 135	3.9	1993 - 1994
BUSN 210	3.8	1993 - 1994
BUSN 210	2.5	1993 - 1994
BUSN 135	3.4	1993 - 1994
BUSN 210	3.8	1993 - 1994
BUSN 135	1.9	1993 - 1994
BUSN 135	3.7	1993 - 1994
BUSN 135	4	1993 - 1994
BUSN 135	1	1993 - 1994
BUSN 210	4	1993 - 1994
BUSN 210	3.3	1993 - 1994
BUSN 135	3.5	1993 - 1994
BUSN 210	2	1993 - 1994
BUSN 210	3.7	1993 - 1994
BUSN 210	3.5	1993 - 1994
BUSN 135	2.3	1993 - 1994
BUSN 210	2.6	1993 - 1994
BUSN 210	4	1993 - 1994
BUSN 135	0.6	1993 - 1994
BUSN 135	0.8	1993 - 1994
BUSN 210	0	1993 - 1994
BUSN 210	2.2	1993 - 1994
BUSN 210	3.7	1993 - 1994
BUSN 135	4	1993 - 1994
BUSN 135	2.6	1993 - 1994
BUSN 210	2.7	1993 - 1994
BUSN 210	3.7	1993 - 1994
BUSN 210	0	1993 - 1994
BUSN 210	3.5	1993 - 1994
BUSN 210	3.8	1993 - 1994
BUSN 210	2.8	1993 - 1994
BUSN 210	4	1993 - 1994
BUSN 210	4	1993 - 1994
BUSN 210	2.7	1993 - 1994
BUSN 210	2.8	1993 - 1994
BUSN 210	3.4	1993 - 1994
BUSN 210	3.7	1993 - 1994
BUSN 210	3.1	1993 - 1994
BUSN 210	3	1993 - 1994
BUSN 210	0	1993 - 1994
BUSN 210	3.2	1993 - 1994
BUSN 210	3.6	1993 - 1994
BUSN 210	3.7	1993 - 1994
BUSN 210	3.1	1993 - 1994
BUSN 210	1.5	1993 - 1994
BUSN 210	2.8	1993 - 1994
BUSN 210	2.8	1993 - 1994
BUSN 210	3.7	1993 - 1994
BUSN 210	0	1993 - 1994
BUSN 210	2.3	1993 - 1994
BUSN 210	3.9	1993 - 1994
BUSN 210	3	1993 - 1994
BUSN 210	2.5	1993 - 1994
BUSN 210	4	1993 - 1994
BUSN 210	3.7	1993 - 1994
BUSN 210	3.6	1993 - 1994
BUSN 210	3.2	1993 - 1994
BUSN 210	3.6	1993 - 1994
BUSN 210	2.8	1993 - 1994
BUSN 210	3.3	1993 - 1994
BUSN 210	1.6	1993 - 1994
BUSN 210	2.8	1993 - 1994
BUSN 210	2.8	1993 - 1994
BUSN 210	1.6	1993 - 1994
BUSN 210	3.7	1993 - 1994
BUSN 210	3	1993 - 1994
BUSN 210	3.3	1993 - 1994
BUSN 210	2.4	1993 - 1994
BUSN 210	3.6	1993 - 1994
BUSN 210	4	1993 - 1994
BUSN 210	3.2	1993 - 1994
BUSN 210	3	1993 - 1994
BUSN 210	3.3	1993 - 1994
BUSN 210	2.3	1993 - 1994
BUSN 210	4	1993 - 1994
BUSN 210	1.5	1993 - 1994
BUSN 210	4	1993 - 1994
BUSN 210	4	1993 - 1994
BUSN 210	2.2	1993 - 1994
BUSN 210	0	1993 - 1994
BUSN 210	3.7	1993 - 1994
BUSN 210	3.2	1993 - 1994
BUSN 210	1	1993 - 1994
BUSN 210	4	1993 - 1994
BUSN 210	4	1993 - 1994
BUSN 210	0	1993 - 1994
BUSN 210	0	1993 - 1994
BUSN 210	3.7	1993 - 1994
BUSN 210	3.8	1993 - 1994
BUSN 210	3.7	1993 - 1994
BUSN 210	4	1993 - 1994
BUSN 210	3.8	1993 - 1994
BUSN 210	2.2	1993 - 1994
BUSN 210	4	1993 - 1994
BUSN 210	3.8	1993 - 1994
BUSN 210	3	1993 - 1994
BUSN 210	2.7	1993 - 1994
BUSN 210	3.3	1993 - 1994
BUSN 210	3.4	1993 - 1994
BUSN 210	3.5	1993 - 1994
BUSN 210	3.8	1993 - 1994
BUSN 210	2.8	1993 - 1994
BUSN 210	3.6	1993 - 1994
BUSN 210	2.4	1993 - 1994
BUSN 210	1.1	1993 - 1994
BUSN 210	2	1993 - 1994
BUSN 210	2.5	1993 - 1994
BUSN 210	3.7	1993 - 1994
BUSN 210	4	1993 - 1994
BUSN 210	2.2	1993 - 1994
BUSN 135	3.2	1993 - 1994
BUSN 135	0.5	1993 - 1994
BUSN 210	3.3	1993 - 1994
BUSN 210	3.7	1993 - 1994
BUSN 210	2.9	1993 - 1994
BUSN 210	2.3	1993 - 1994
BUSN 135	3.2	1993 - 1994
BUSN 210	2.2	1993 - 1994
BUSN 210	2	1993 - 1994
BUSN 210	2.8	1993 - 1994
BUSN 210	0	1993 - 1994
BUSN 210	1	1993 - 1994
BUSN 210	3.3	1993 - 1994
BUSN 210	3.5	1993 - 1994
BUSN 210	4	1993 - 1994
BUSN 210	1.6	1993 - 1994
BUSN 210	3.4	1993 - 1994
BUSN 210	4	1993 - 1994
BUSN 210	3.3	1993 - 1994
BUSN 210	3.5	1993 - 1994
BUSN 135	2.6	1993 - 1994
BUSN 135	3.8	1993 - 1994
BUSN 135	1.1	1993 - 1994
BUSN 135	0.7	1993 - 1994
BUSN 135	3	1993 - 1994
BUSN 135	0.9	1993 - 1994
BUSN 135	4	1993 - 1994
BUSN 210	4	1993 - 1994
BUSN 210	3.4	1993 - 1994
BUSN 210	3.7	1993 - 1994
BUSN 135	2.1	1993 - 1994
BUSN 135	4	1993 - 1994
BUSN 210	3.9	1993 - 1994
BUSN 210	3.3	1993 - 1994
BUSN 210	3.2	1993 - 1994
BUSN 135	2.9	1993 - 1994
BUSN 210	3.4	1993 - 1994
BUSN 210	2.8	1993 - 1994
BUSN 210	2.7	1993 - 1994
BUSN 210	2.9	1993 - 1994
BUSN 210	1.4	1993 - 1994
BUSN 210	2.9	1993 - 1994
BUSN 210	3.4	1993 - 1994
BUSN 135	0.8	1993 - 1994
BUSN 210	3.7	1993 - 1994
BUSN 135	2.3	1993 - 1994
BUSN 210	3.9	1993 - 1994
BUSN 135	3.2	1993 - 1994
BUSN 135	3.9	1993 - 1994
BUSN 210	2.3	1993 - 1994
BUSN 210	2.9	1993 - 1994
BUSN 135	3.3	1993 - 1994
BUSN 135	1.3	1993 - 1994
BUSN 210	3.4	1993 - 1994
BUSN 210	2.3	1993 - 1994
BUSN 210	2.3	1993 - 1994
BUSN 135	3.7	1993 - 1994
BUSN 210	1.7	1993 - 1994
BUSN 135	3.5	1993 - 1994
BUSN 210	2.3	1993 - 1994
BUSN 210	2	1993 - 1994
BUSN 210	3.1	1993 - 1994
BUSN 135	0	1993 - 1994
BUSN 210	3.5	1993 - 1994
BUSN 210	3.4	1993 - 1994
BUSN 210	3.1	1993 - 1994
BUSN 210	1.2	1993 - 1994
BUSN 210	3.1	1993 - 1994
BUSN 210	3.3	1993 - 1994
BUSN 135	1.8	1993 - 1994
BUSN 210	4	1993 - 1994
BUSN 210	2.8	1993 - 1994
BUSN 210	3.8	1993 - 1994
BUSN 210	0	1993 - 1994
BUSN 210	0	1993 - 1994
BUSN 135	3.9	1993 - 1994
BUSN 210	1.2	1993 - 1994
BUSN 210	2.9	1993 - 1994
BUSN 210	3.7	1993 - 1994
BUSN 210	3.8	1993 - 1994
BUSN 135	3.9	1993 - 1994
BUSN 210	2.5	1993 - 1994
BUSN 210	2.8	1993 - 1994
BUSN 135	3.2	1993 - 1994
BUSN 210	3.3	1993 - 1994
BUSN 135	2.2	1993 - 1994
BUSN 210	1.6	1993 - 1994
BUSN 135	2.3	1993 - 1994
BUSN 135	0.3	1993 - 1994
BUSN 135	1.4	1993 - 1994
BUSN 135	4	1993 - 1994
BUSN 210	4	1993 - 1994
BUSN 210	3.1	1993 - 1994
BUSN 135	1.4	1993 - 1994
BUSN 210	3.5	1993 - 1994
BUSN 210	3.4	1993 - 1994
BUSN 210	2.3	1993 - 1994
BUSN 210	3.2	1994 - 1995
BUSN 135	3.8	1994 - 1995
BUSN 210	2	1994 - 1995
BUSN 135	3.7	1994 - 1995
BUSN 135	3.9	1994 - 1995
BUSN 210	3.1	1994 - 1995
BUSN 135	4	1994 - 1995
BUSN 210	2.5	1994 - 1995
BUSN 210	3.5	1994 - 1995
BUSN 135	2.5	1994 - 1995
BUSN 135	3.2	1994 - 1995
BUSN 210	2.7	1994 - 1995
BUSN 135	0	1994 - 1995
BUSN 135	2.7	1994 - 1995
BUSN 210	2.5	1994 - 1995
BUSN 210	3	1994 - 1995
BUSN 210	1.5	1994 - 1995
BUSN 135	3.7	1994 - 1995
BUSN 135	4	1994 - 1995
BUSN 135	4	1994 - 1995
BUSN 135	2	1994 - 1995
BUSN 210	2.5	1994 - 1995
BUSN 210	0	1994 - 1995
BUSN 210	2.7	1994 - 1995
BUSN 210	3.2	1994 - 1995
BUSN 135	0.1	1994 - 1995
BUSN 210	0	1994 - 1995
BUSN 210	2.4	1994 - 1995
BUSN 210	2.6	1994 - 1995
BUSN 210	4	1994 - 1995
BUSN 210	3.3	1994 - 1995
BUSN 210	2.3	1994 - 1995
BUSN 210	2.2	1994 - 1995
BUSN 210	2.4	1994 - 1995
BUSN 210	3.2	1994 - 1995
BUSN 210	4	1994 - 1995
BUSN 210	3.1	1994 - 1995
BUSN 210	4	1994 - 1995
BUSN 135	4	1994 - 1995
BUSN 210	2.1	1994 - 1995
